Time [s], Analyzer Name, Decoded Protocol Result
0.188951260000000,I2C,Setup Write to [0x36] + ACK
0.189041256000000,I2C,0x35 + ACK
0.189131256000000,I2C,0x0A + ACK
0.189221256000000,I2C,0x00 + ACK
0.189341256000000,I2C,Setup Write to [0x36] + ACK
0.189431256000000,I2C,0x35 + ACK
0.189521256000000,I2C,0x0B + ACK
0.189611256000000,I2C,0x13 + ACK
0.189741256000000,I2C,Setup Write to [0x36] + ACK
0.189831256000000,I2C,0x32 + ACK
0.189921252000000,I2C,0x12 + ACK
0.190011252000000,I2C,0x00 + ACK
0.190131256000000,I2C,Setup Write to [0x36] + ACK
0.190221252000000,I2C,0x35 + ACK
0.190311252000000,I2C,0x00 + ACK
0.190401252000000,I2C,0x00 + ACK
0.190521252000000,I2C,Setup Write to [0x36] + ACK
0.190611252000000,I2C,0x35 + ACK
0.190701252000000,I2C,0x01 + ACK
0.190791252000000,I2C,0x45 + ACK
0.190911252000000,I2C,Setup Write to [0x36] + ACK
0.191001248000000,I2C,0x35 + ACK
0.191091248000000,I2C,0x02 + ACK
0.191181248000000,I2C,0xB0 + ACK
0.191301248000000,I2C,Setup Write to [0x36] + ACK
0.191391248000000,I2C,0x32 + ACK
0.191481248000000,I2C,0x12 + ACK
0.191571248000000,I2C,0x10 + ACK
0.191691248000000,I2C,Setup Write to [0x36] + ACK
0.191781248000000,I2C,0x32 + ACK
0.191871248000000,I2C,0x12 + ACK
0.191961244000000,I2C,0xA0 + ACK
0.255576008000000,I2C,Setup Write to [0x36] + ACK
0.255666008000000,I2C,0x35 + ACK
0.255756008000000,I2C,0x0A + ACK
0.255846004000000,I2C,0x00 + ACK
0.255966008000000,I2C,Setup Write to [0x36] + ACK
0.256056004000000,I2C,0x35 + ACK
0.256146004000000,I2C,0x0B + ACK
0.256236004000000,I2C,0x13 + ACK
0.256366004000000,I2C,Setup Write to [0x36] + ACK
0.256456004000000,I2C,0x32 + ACK
0.256546004000000,I2C,0x12 + ACK
0.256636004000000,I2C,0x00 + ACK
0.256756004000000,I2C,Setup Write to [0x36] + ACK
0.256846000000000,I2C,0x35 + ACK
0.256936000000000,I2C,0x00 + ACK
0.257026000000000,I2C,0x00 + ACK
0.257146004000000,I2C,Setup Write to [0x36] + ACK
0.257236000000000,I2C,0x35 + ACK
0.257326000000000,I2C,0x01 + ACK
0.257416000000000,I2C,0x45 + ACK
0.257536000000000,I2C,Setup Write to [0x36] + ACK
0.257626000000000,I2C,0x35 + ACK
0.257716000000000,I2C,0x02 + ACK
0.257805996000000,I2C,0xB0 + ACK
0.257926000000000,I2C,Setup Write to [0x36] + ACK
0.258016000000000,I2C,0x32 + ACK
0.258105996000000,I2C,0x12 + ACK
0.258195996000000,I2C,0x10 + ACK
0.258316000000000,I2C,Setup Write to [0x36] + ACK
0.258405996000000,I2C,0x32 + ACK
0.258495996000000,I2C,0x12 + ACK
0.258585996000000,I2C,0xA0 + ACK
0.322200756000000,I2C,Setup Write to [0x36] + ACK
0.322290756000000,I2C,0x35 + ACK
0.322380756000000,I2C,0x0A + ACK
0.322470756000000,I2C,0x00 + ACK
0.322590756000000,I2C,Setup Write to [0x36] + ACK
0.322680756000000,I2C,0x35 + ACK
0.322770756000000,I2C,0x0B + ACK
0.322860752000000,I2C,0x17 + ACK
0.322990756000000,I2C,Setup Write to [0x36] + ACK
0.323080752000000,I2C,0x32 + ACK
0.323170752000000,I2C,0x12 + ACK
0.323260752000000,I2C,0x00 + ACK
0.323385752000000,I2C,Setup Write to [0x36] + ACK
0.323475752000000,I2C,0x35 + ACK
0.323565752000000,I2C,0x00 + ACK
0.323655752000000,I2C,0x00 + ACK
0.323775752000000,I2C,Setup Write to [0x36] + ACK
0.323865752000000,I2C,0x35 + ACK
0.323955748000000,I2C,0x01 + ACK
0.324045748000000,I2C,0x45 + ACK
0.324165752000000,I2C,Setup Write to [0x36] + ACK
0.324255748000000,I2C,0x35 + ACK
0.324345748000000,I2C,0x02 + ACK
0.324435748000000,I2C,0xB0 + ACK
0.324555748000000,I2C,Setup Write to [0x36] + ACK
0.324645748000000,I2C,0x32 + ACK
0.324735748000000,I2C,0x12 + ACK
0.324825748000000,I2C,0x10 + ACK
0.324945748000000,I2C,Setup Write to [0x36] + ACK
0.325035744000000,I2C,0x32 + ACK
0.325125748000000,I2C,0x12 + ACK
0.325215744000000,I2C,0xA0 + ACK
0.388820508000000,I2C,Setup Write to [0x36] + ACK
0.388910504000000,I2C,0x35 + ACK
0.389000504000000,I2C,0x0A + ACK
0.389090504000000,I2C,0x00 + ACK
